pwin,dv_cat
a0,b9
a0,b4
a1,b32
a1,
a1,b27
a1,b27
a1,b26
a1,b26
a1,b29
a1,b22
a1,b22
a1,b21
a1,b24
a1,b25
a0,
a0,
a0,b6
a0,b7
a0,b13
a0,b8
a0,b8
a0,b11
a0,b5
a0,b6
a0,b16
a0,b6
a0,b8
a0,b7
a0,b4
a1,b21
a0,b12
a0,b10
a0,b6
a0,b9
a1,b25
a1,b27
a1,b26
a0,b4
a0,b8
a0,b11
a1,b26
a1,b31
a1,b27
a1,b19
a1,b27
a1,b30
a0,b11
a0,b4
a0,b5
a0,b10
a0,b5
a0,b9
a0,b14
a0,b7
a0,b12
a0,b10
a0,b9
a0,b6
a0,b9
a0,b4
a0,b14
a0,b15
a0,b7
a0,b9
a0,b5
a0,b5
a0,b4
a0,b6
a0,b5
a0,b5
a1,b20
a0,b13
a0,b6
a0,b13
a1,b23
a0,b9
a0,b11
a1,b20
a0,b7
a0,b12
a0,b8
a0,b7
a1,b26
a1,b24
a1,b24
a1,b20
a1,
a1,
a1,
a1,
a1,
a1,
a0,b7
a0,b4
a0,
a0,
a1,
a1,b28
a1,
a1,b30
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,b33
a1,b30
a1,
a1,
a1,b33
a1,
a1,
a1,
a1,b32
a1,
a1,
a1,
a1,
a1,
a1,b29
a1,b33
a1,
a1,
a1,b17
a0,b13
a0,b6
a1,b29
a1,b27
a1,b29
a1,
a1,b29
a1,b27
a1,b26
a1,b26
a1,b23
a0,b7
a1,b21
a0,b12
a0,b5
a0,b7
a0,b12
a0,b12
a0,b14
a0,b14
a0,b13
a1,b23
a1,b20
a0,b10
a0,b7
a0,
a0,b13
a0,b10
a0,b6
a0,b4
a0,b6
a0,
a0,b10
a0,b10
a1,
a1,
a1,
a1,b31
a1,
a1,b31
a1,
a1,b32
a1,b32
a1,b24
a1,b27
a1,
a1,
a1,b28
a1,b32
a1,b32
a1,
a1,
a0,b11
a1,
a0,
a1,b19
a0,
a1,
a0,b14
a0,
a1,b20
a0,
a0,
a0,
a0,b13
a1,b27
a0,
a0,b9
a1,
a1,b22
a1,b29
a0,
a1,b23
a0,
a1,b23
a1,b27
a0,b14
a1,b18
a1,b19
a1,b23
a1,b19
a1,b17
a0,b10
a0,b14
a0,b16
a0,b15
a1,
a1,b33
a1,
a1,b31
a1,b29
a1,b27
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,b21
a0,b14
a1,b28
a1,b19
a1,b20
a1,b20
a1,b29
a1,b29
a1,b29
a1,b27
a1,b23
a0,b9
a1,b18
a0,b13
a0,b5
a0,b5
a0,b10
a0,b9
a0,b7
a0,b13
a0,b11
a0,b12
a1,b21
a0,b12
a0,b14
a0,b15
a1,b28
a0,b14
a1,b26
a0,b10
a1,b20
a1,b19
a1,b20
a0,b16
a1,b22
a1,b23
a0,b13
a0,b12
a1,b19
a0,b12
a0,b12
a0,b9
a0,b14
a0,b14
a0,b10
a0,b10
a0,b10
a0,b8
a0,b14
a0,b10
a0,b10
a0,b6
a0,b9
a1,
a1,b26
a0,b12
a1,b25
a1,b27
a1,b25
a1,b25
a1,b25
a0,
a1,
a1,
a1,b27
a1,
a1,
a1,
a1,
a1,
a0,b7
a0,b5
a0,b4
a0,b13
a1,b23
a1,b29
a1,b27
a1,b25
a0,b10
a0,b9
a1,b22
a1,b29
a1,b25
a0,
a0,
a1,b30
a0,b14
a0,b10
a0,b5
a1,
a1,
a0,b10
a0,b7
a1,b31
a0,b10
a0,b8
a0,b6
a0,b7
a0,b16
a0,b8
a0,b7
a0,b8
a0,b6
a0,b6
a0,b10
a1,b26
a1,b24
a1,b27
a1,b26
a0,b12
a0,b7
a0,b7
a1,b22
a1,b25
a0,b11
a1,b19
a0,b13
a1,b27
a0,b11
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,b24
a1,b23
a1,b24
a1,b27
a1,b23
a1,b19
a0,b11
a1,b24
a1,b26
a1,b29
a1,b27
a1,b23
a1,b29
a1,b28
a0,b14
a0,b9
a1,b19
a0,b6
a0,b7
a1,b18
a0,b10
a0,b9
a0,b12
a0,b7
a0,b8
a1,b26
a0,b9
a0,b9
a0,b10
a0,b16
a0,b7
a1,b20
a1,b18
a0,b13
a1,b28
a1,b26
a1,
a1,
a0,b5
a0,b5
a0,b7
a1,b19
a1,b21
a1,b24
a1,b25
a1,b29
a1,b28
a1,b28
a1,b27
a1,b27
a1,b25
a1,
a1,b31
a1,b20
a0,b9
a9,
a1,b30
a1,b28
a0,b15
a1,b31
a1,
a1,
a1,
a1,b26
a0,b11
a0,b6
a0,b7
a0,b6
a0,b10
a1,b24
a0,b6
a0,b7
a1,b17
a0,b13
a0,b6
a0,b9
a0,b6
a0,b14
a0,b8
a0,b13
a1,b19
a1,b20
a0,b7
a1,b33
a1,
a1,b30
a1,b30
a1,b29
a1,b29
a1,b31
a1,b26
a1,b25
a1,b25
a1,b27
a1,b26
a0,
a0,
a0,b14
a1,b20
a1,b24
a0,b10
a0,b13
a1,b21
a0,
a0,b11
a1,b21
a0,b9
a0,b15
a0,b13
a0,b8
a1,b24
a1,b23
a1,b20
a0,b13
a1,b22
a1,b28
a1,
a1,b30
a0,b11
a1,b19
a1,b21
a1,b29
a1,b31
a1,b29
a1,b28
a1,b29
a1,b30
a1,b24
a0,b6
a0,b9
a0,b8
a0,b6
a1,b21
a1,b22
a0,b13
a1,b24
a1,b18
a0,b9
a0,b7
a0,b8
a0,b5
a1,b24
a1,b19
a0,b8
a1,b19
a0,b6
a0,b7
a0,b6
a0,b6
a0,b7
a0,b7
a1,b24
a1,b21
a0,b8
a1,b22
a1,b27
a0,b13
a1,b23
a1,b26
a0,b11
a1,b22
a0,b16
a0,b10
a1,b29
a1,b28
a1,b26
a1,b25
a1,b32
a1,
a1,
a1,b33
a1,
a1,
a0,b12
a0,b6
a0,b2
a0,
a1,b28
a1,b27
a1,
a1,b31
a1,
a1,b28
a1,b33
a1,b33
a1,
a1,b33
a1,b32
a1,
a1,
a1,
a1,
a1,b32
a1,
a1,
a1,
a1,b32
a1,
a1,b32
a1,
a1,
a1,
a1,b32
a1,
a1,b30
a1,
a1,b24
a1,b24
a0,b8
a1,b31
a1,b26
a1,b29
a1,
a1,
a1,b27
a1,b25
a1,b23
a1,b20
a1,b19
a1,b26
a0,b13
a0,b12
a0,b11
a0,b9
a1,b24
a1,b22
a1,b24
a1,b21
a1,b27
a1,b26
a0,b13
a0,b11
a0,b5
a1,b24
a1,b22
a0,b10
a0,b7
a0,b10
a0,
a0,b10
a0,b14
a1,
a1,
a1,
a1,b33
a1,
a1,
a1,
a1,
a1,
a1,b25
a1,b28
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a0,b11
a1,
a0,
a1,b28
a1,
a1,
a0,b10
a0,
a0,b13
a0,b12
a0,b13
a0,b8
a0,
a1,b24
a0,
a0,b8
a1,
a1,b17
a1,
a0,
a1,b24
a0,
a1,b18
a1,b18
a0,b9
a0,b14
a1,b24
a1,b24
a0,b15
a1,b20
a0,b10
a0,b12
a0,b16
a0,b10
a1,
a1,
a1,
a1,b31
a1,b30
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a0,b15
a0,b9
a1,b26
a0,b12
a0,b11
a0,b10
a1,b27
a1,b27
a1,b29
a1,b25
a1,b19
a0,b6
a0,b10
a0,b10
a0,b4
a0,b4
a0,b7
a0,b5
a0,b6
a0,b7
a0,b8
a0,b8
a1,b20
a0,b8
a0,b10
a0,b10
a1,b27
a0,b14
a1,b20
a0,b9
a0,b12
a0,b10
a0,b11
a0,b13
a0,b16
a1,b19
a0,b10
a0,b8
a0,b10
a0,b7
a0,b9
a0,b6
a0,b9
a0,b9
a0,b6
a0,b7
a0,b6
a0,b6
a0,b13
a0,b11
a0,b9
a0,b7
a0,b8
a1,
a1,
a0,b10
a1,
a1,b26
a1,
a1,b23
a1,b25
a0,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a0,b11
a0,b9
a0,b7
a0,b9
a0,b15
a1,b27
a1,b24
a1,b24
a0,b7
a0,b5
a1,b22
a1,b29
a1,b24
a0,b3
a0,b4
a1,b30
a0,b12
a0,b9
a0,b9
a1,b31
a1,b32
a0,b7
a0,b6
a1,b31
a0,b8
a0,b7
a0,b5
a0,b6
a0,b12
a0,b7
a0,b7
a0,b11
a0,b6
a0,b6
a0,b7
a1,b26
a1,b19
a1,b27
a1,b26
a0,b10
a0,b5
a0,b8
a1,b19
a1,b25
a0,b8
a1,b23
a0,b7
a1,b26
a0,b6
a1,b33
a1,
a1,b33
a1,
a1,
a1,
a1,
a1,b22
a1,b20
a1,b19
a1,b26
a1,b22
a0,b15
a0,b9
a1,b22
a1,b26
a1,
a1,b27
a0,b14
a1,b28
a1,b26
a0,b10
a0,b11
a0,b7
a0,b6
a0,b6
a1,b20
a0,b9
a0,b6
a0,b10
a0,b11
a0,b7
a1,b20
a0,b7
a0,b7
a0,b5
a0,b7
a0,b7
a1,b25
a1,b20
a0,b11
a1,b23
a1,b25
a1,
a1,
a1,b17
a0,b5
a0,b7
a1,b24
a1,b22
a1,b24
a1,b25
a1,b28
a1,
a1,b29
a1,b26
a1,b27
a1,b25
a1,b30
a1,b31
a1,b22
a0,b10
a9,
a1,b29
a1,b27
a0,b6
a1,b28
a1,b29
a1,b31
a1,b26
a1,b25
a0,b9
a0,b5
a0,b7
a0,b6
a0,b6
a1,b25
a0,b4
a0,b5
a0,b13
a0,b7
a0,b6
a0,b5
a0,b5
a0,b6
a0,b6
a0,b9
a0,b14
a0,b14
a0,b6
a1,b33
a1,
a1,
a1,b29
a1,
a1,b30
a1,b31
a1,b25
a1,b26
a1,b20
a1,b28
a1,b26
a0,
a0,
a0,b8
a0,b13
a1,b22
a0,b6
a0,b9
a1,b18
a0,b5
a0,b7
a9,
a0,b6
a0,b12
a0,b6
a0,b4
a0,b15
a1,b26
a0,b15
a0,b6
a1,b18
a1,b26
a1,b29
a1,b30
a0,b7
a0,b12
a0,b13
a1,b27
a1,b31
a1,b28
a1,b24
a1,b28
a1,b28
a0,b11
a0,b6
a0,b10
a0,b12
a0,b8
a1,b21
a1,b23
a0,b16
a1,b24
a1,b23
a0,b16
a0,b7
a0,b9
a0,b5
a1,b19
a1,b22
a0,b10
a1,b19
a0,b8
a0,b7
a0,b6
a0,b7
a0,b7
a0,b7
a1,b24
a1,b20
a0,b8
a0,b14
a1,b25
a0,b13
a0,b13
a1,b24
a0,b9
a0,b13
a0,b10
a0,b5
a1,b28
a1,b27
a1,b26
a1,b25
a1,
a1,
a1,
a1,
a1,
a1,
a0,b8
a0,b8
a0,b7
a0,b13
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,b33
a1,
a1,
a1,
a1,
a1,b30
a1,
a1,
a1,
a1,b31
a1,
a1,
a1,
a1,
a1,
a1,b20
a1,b33
a1,
a1,
a1,b19
a1,b21
a0,b4
a1,b32
a1,
a1,
a1,
a1,
a1,
a1,b28
a1,b24
a1,b24
a1,b19
a1,b26
a0,b12
a0,b6
a0,b11
a0,b8
a1,b19
a1,b22
a1,b22
a1,b19
a1,b27
a1,b26
a0,b9
a0,b9
a0,b9
a1,b25
a0,b14
a0,b6
a0,b5
a0,b7
a0,b4
a0,b9
a0,b11
a1,
a1,
a1,
a1,
a1,
a1,
a1,b29
a1,b32
a1,
a0,b11
a1,b23
a1,
a1,
a1,b23
a1,
a1,b31
a1,
a0,
a1,
a1,b19
a0,b10
a1,
a1,b18
a0,
a1,
a0,b11
a0,b8
a0,
a0,
a0,b14
a1,b18
a0,
a0,b8
a1,b23
a0,b10
a1,
a0,
a0,b12
a0,b8
a1,
a0,
a0,b6
a1,
a1,b22
a0,b7
a0,
a0,b8
a1,b19
a0,b7
a0,b9
a1,b17
a1,b21
a0,b10
a0,b13
a0,b8
a0,b10
a0,b10
a0,b14
a1,b18
a1,
a1,
a1,b27
a1,
a1,b25
a1,b23
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,b17
a0,b6
a1,b29
a1,b19
a0,b11
a0,b10
a1,b27
a1,b26
a1,b28
a1,b24
a1,b20
a0,b6
a0,b8
a0,b10
a0,b4
a0,b4
a0,b7
a0,b6
a0,b7
a0,b10
a0,b8
a0,b7
a1,b20
a0,b7
a0,b9
a1,b27
a0,b10
a1,b23
a0,b7
a0,b11
a0,b6
a0,b9
a0,b10
a0,b10
a0,b13
a0,b10
a0,b8
a0,b8
a0,b7
a0,b7
a0,b6
a0,b7
a0,b9
a0,b5
a0,b5
a0,
a1,b19
a0,b9
a0,b8
a0,b8
a0,b4
a0,b7
a1,b27
a1,b22
a0,b11
a1,b23
a1,b23
a1,b23
a1,b24
a0,b5
a1,b27
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a0,b7
a0,b6
a0,b3
a0,b7
a0,b7
a1,b29
a1,b22
a0,b16
a0,b9
a1,b19
a0,b5
a1,b19
a1,b28
a1,b22
a0,b3
a0,
a1,b30
a0,b14
a0,b8
a0,b11
a1,b28
a1,b31
a0,b8
a0,b7
a1,b31
a0,b7
a0,b7
a0,b6
a0,b6
a0,b13
a0,b8
a0,b6
a0,b8
a0,b5
a0,b8
a0,b9
a1,b27
a1,b21
a1,b27
a1,b25
a0,b12
a0,b10
a0,b5
a0,b5
a1,b20
a1,b26
a0,b8
a1,b20
a0,b7
a1,b26
a0,b8
a1,
a1,
a1,b32
a1,
a1,b33
a1,
a1,b27
a0,b10
a1,b27
a0,b12
a1,b23
a0,b13
a0,b7
a1,b20
a1,b22
a1,b25
a1,b17
a1,b18
a0,b7
a0,b4
a0,b10
a0,b4
a0,b4
a0,b15
a0,b8
a0,b6
a0,b10
a0,b7
a0,b6
a1,b22
a0,b7
a0,b6
a0,b5
a0,b6
a0,b6
a1,b24
a1,b20
a0,b11
a1,b24
a1,b21
a1,
a1,
a0,b8
a0,b4
a0,b5
a0,b7
a0,b11
a1,b17
a1,b19
a1,b27
a1,b26
a1,b29
a1,b30
a0,b12
a1,b29
a1,b27
a0,b9
a1,b31
a0,b9
a1,
a1,b28
a1,b26
a0,b6
a1,b28
a1,b30
a1,b24
a0,b10
a0,b5
a0,b9
a0,b6
a0,b4
a1,b21
a0,b4
a0,
a0,b4
a0,b8
a0,b7
a0,b4
a0,b5
a0,b5
a0,b6
a0,b8
a0,b10
a0,b10
a0,b5
a1,
a1,b33
a1,b30
a1,b30
a1,
a1,b28
a1,
a1,b25
a1,b19
a0,b9
a1,b26
a1,b23
a0,
a0,
a0,b7
a0,b10
a0,b14
a0,b5
a0,b7
a1,b17
a0,
a0,b5
a9,
a0,b6
a0,b9
a0,b7
a0,b9
a0,b9
a1,b27
a0,b11
a0,b5
a1,b23
a1,b27
a1,b27
a1,b28
a0,b9
a0,b6
a0,b9
a1,b25
a1,b30
a1,b25
a1,b26
a1,b26
a0,b5
a0,b9
a0,b11
a0,b6
a1,b28
a1,b26
a1,b24
a1,b29
a1,b22
a0,b14
a0,b7
a0,b8
a0,b6
a0,b12
a0,b16
a0,b8
a0,b6
a1,b17
a1,b22
a0,b7
a0,b6
a0,b7
a0,b13
a0,b7
a1,b20
a0,b13
a0,b5
a0,b9
a0,b16
a1,b25
a0,b7
a1,b24
a0,b7
a1,b26
a1,b22
a1,b21
a1,
a1,
a1,b33
a1,
a1,b33
a1,
a0,b5
a0,b5
a0,b6
a0,b5
a1,b28
a1,
a1,b28
a1,
a1,
a1,
a1,
a1,
a1,b30
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a0,b8
a0,b13
a0,b4
a1,
a1,
a1,b24
a1,
a1,
a0,b14
a1,b30
a1,
a0,b14
a0,b16
a0,b14
a0,b11
a0,b12
a0,b5
a0,b10
a0,b8
a1,b17
a1,b20
a1,b19
a1,b21
a0,b12
a1,b26
a1,b23
a0,b8
a0,b7
a0,b3
a1,b27
a0,b14
a0,b4
a0,b4
a0,b4
a0,b6
a0,b5
a0,b8
a1,
a1,
a1,
a1,
a1,
a1,
a1,b30
a1,b33
a1,
a0,b12
a1,b26
a1,
a1,
a1,
a1,
a1,
a1,
a0,b8
a1,
a1,b27
a0,b7
a1,
a0,b15
a0,b12
a1,b27
a0,b11
a0,b7
a0,b13
a1,b21
a0,b13
a1,b27
a0,b10
a0,b8
a1,b25
a0,b10
a1,b29
a0,b4
a0,b9
a0,b9
a1,b29
a0,b10
a0,b6
a1,b25
a1,b27
a0,b6
a0,b9
a0,b8
a1,b23
a0,b10
a0,b12
a1,b21
a1,b23
a0,b15
a0,b13
a0,b9
a0,b13
a0,b14
a1,b22
a0,b15
a1,
a1,
a1,
a1,
a1,
a1,b23
a1,
a1,
a1,
a1,
a1,
a1,b27
a1,
a1,
a1,
a1,
a1,
a1,b22
a0,b8
a1,b30
a1,b26
a1,b21
a0,b13
a1,b29
a1,b29
a1,b30
a1,b28
a1,b25
a0,b9
a0,b15
a1,b22
a0,b5
a0,b4
a0,b7
a0,
a0,b6
a0,b9
a0,b10
a0,b7
a1,b22
a0,b7
a0,b13
a1,b28
a1,b20
a1,b26
a0,b8
a0,b15
a0,b8
a0,b12
a0,b13
a0,b10
a1,b20
a0,b14
a0,b10
a0,b10
a0,b9
a0,b10
a0,b7
a0,b10
a0,b10
a0,b8
a0,b8
a0,b7
a0,b11
a0,b11
a0,b10
a0,b10
a0,b6
a0,b12
a1,
a1,
a0,b16
a1,
a1,b25
a1,b25
a1,b25
a0,b7
a1,b31
a1,
a1,
a1,
a1,
a1,
a1,
a1,
a0,b13
a0,b11
a0,b8
a0,b10
a0,b10
a1,
a1,b24
a1,b21
a0,b14
a1,b22
a0,b10
a1,b25
a1,
a1,b24
a0,
a0,b4
a1,
a1,b21
a0,b10
a0,b15
a1,b30
a1,
a0,b9
a0,b7
a1,b32
a0,b8
a0,b8
a0,b7
a0,b7
a1,b19
a0,b13
a0,b7
a0,b10
a0,b7
a0,b11
a0,b10
a1,b27
a1,b24
a1,b29
a1,b28
a1,b20
a0,b12
a0,b8
a0,b9
a1,b22
a1,b26
a0,b10
a1,b26
a0,b13
a1,b29
a1,b19
a1,
a1,
a1,
a1,
a1,
a1,
a1,b27
a0,b11
a1,b29
a1,b19
a1,b24
a1,b21
a0,b12
a1,b24
a1,b24
a1,b26
a1,b23
a1,b23
a0,b15
a0,b9
a0,b13
a0,b6
a0,b4
a0,b11
a0,b16
a0,b8
a0,b11
a0,b7
a0,b9
a1,b24
a0,b8
a1,b24
a0,b7
a0,b11
a0,b8
a1,b26
a1,b24
a0,b12
a1,b28
a1,b27
a1,
a1,
a0,b7
a0,b6
a0,b9
a0,b9
a0,b11
a1,b22
a1,b24
a1,b30
a1,b29
a1,b30
a1,b31
a0,b14
a1,b31
a1,b29
a0,b14
a1,b31
a0,b16
a1,
a1,b29
a1,b28
a1,b28
a1,b30
a1,b32
a1,b28
a0,b12
a0,b6
a0,b9
a0,b6
a0,b5
a1,b26
a0,b6
a0,b7
a0,b5
a0,b8
a0,b7
a0,b5
a0,b4
a0,b4
a0,b6
a0,b7
a0,b7
a0,b9
a0,b6
a1,b33
a1,
a1,b30
a1,
a1,b27
a1,b29
a1,b31
a1,b25
a1,b20
a0,b9
a1,b28
a1,b26
a0,
a0,
a0,b6
a0,b9
a0,b13
a0,b5
a0,b8
a1,b20
a0,b7
a0,b7
a1,b19
a0,b7
a0,b6
a0,b7
a0,b8
a0,b11
a0,b11
a0,b9
a0,b6
a1,b24
a1,b28
a1,b28
a1,b30
a0,b9
a0,b5
a0,b9
a1,b27
a1,b31
a1,
a1,b27
a1,b28
a0,b7
a0,b13
a1,b20
a0,b10
a1,b26
a1,b26
a1,b23
a1,b27
a1,b22
a0,b15
a0,b8
a0,b14
a0,b7
a0,b15
a1,b18
a0,b10
a0,b6
a1,b26
a1,b26
a0,b8
a0,b10
a0,b10
a1,b18
a0,b10
a1,b26
a0,b14
a0,b7
a0,b13
a1,b21
a1,b27
a0,b7
a1,b27
a0,b8
a1,b28
a1,b25
a1,b25
a1,
a1,
a1,
a1,
a1,
a1,
a0,b9
a0,b7
a0,b7
a0,b9
a1,b25
a1,
a1,b33
a1,
a1,
a1,
a1,b31
a1,
a1,
a1,
a1,
a0,b13
a1,
a1,
a1,b26
a1,
a1,
a1,
a1,
a1,
a1,b33
a1,
a1,
a1,
a1,b27
a1,
a1,
a1,
a1,b32
a0,b12
a0,b9
a0,b7
a1,
a1,b29
a1,b24
a1,
a1,
a0,b7
a1,b29
a1,
a1,b18
a0,b11
a0,b13
a0,b13
a0,b6
a0,b7
a0,b9
a0,b10
a1,b24
a1,b20
a1,b22
a1,b24
a1,b17
a1,b28
a1,b26
a0,b11
a0,b11
a0,b7
a1,b29
a1,b20
a0,b7
a0,b8
a0,b7
a1,b23
a0,b8
a0,b10
a1,
a1,
a1,
a1,b29
a1,
a1,
a1,
a1,b31
a1,b27
a0,b11
a1,b25
a1,
a1,
a1,b26
a1,
a1,
a1,
a0,b12
a1,
a1,b28
a0,b7
a1,
a0,b12
a0,b13
a1,b27
a0,b8
a0,b8
a1,b21
a1,b29
a0,b8
a1,b26
a0,b9
a0,b8
a1,b27
a0,b8
a1,b29
a0,b4
a0,b7
a0,b8
a1,b29
a0,b7
a0,b7
a1,b28
a1,
a0,b6
a1,b19
a0,b6
a1,b24
a0,b12
a0,b16
a1,b26
a0,b12
a0,b8
a0,b8
a0,b5
a0,b7
a0,b7
a0,b13
a0,b10
a1,
a1,b32
a1,b25
a1,b19
a1,b22
a1,b26
a1,
a1,
a1,
a1,
a1,
a1,b25
a1,
a1,
a1,
a1,
a1,
a1,b23
a0,b8
a1,b27
a1,b23
a0,b14
a0,b8
a1,b26
a1,b26
a1,b29
a1,b25
a1,b21
a0,b6
a0,b10
a1,b21
a0,b4
a0,b4
a0,b6
a0,b7
a0,b6
a0,b9
a0,b10
a0,b8
a1,b21
a0,b7
a0,b13
a1,b28
a1,b21
a1,b20
a0,b7
a0,b12
a0,b7
a0,b10
a0,b10
a0,b9
a1,b17
a0,b12
a0,b10
a0,b8
a0,b9
a0,b14
a0,b9
a0,b15
a0,b14
a1,b17
a0,b10
a0,b8
a0,b12
a0,b11
a0,b10
a0,b12
a1,b17
a0,b14
a1,
a1,b20
a0,b10
a1,b23
a1,b23
a1,b20
a1,b20
a0,b4
a1,
a1,b27
a1,
a1,b28
a1,
a1,
a1,
a1,
a0,b16
a1,b21
a0,b8
a0,b10
a0,b9
a1,b28
a1,b21
a1,b23
a0,b11
a1,b24
a0,b7
a1,b26
a1,b29
a1,b25
a0,b4
a0,
a1,b27
a1,b22
a0,b7
a0,b12
a1,b30
a1,b31
a0,b10
a0,b7
a1,b32
a0,b7
a0,b6
a0,b7
a0,b5
a0,b15
a0,b12
a0,b6
a0,b10
a0,b6
a0,b10
a0,b10
a1,b28
a1,b23
a1,b29
a1,b27
a1,b21
a0,b10
a0,b7
a0,b7
a1,b19
a1,b27
a0,b10
a1,b23
a0,b10
a1,b29
a1,b20
a1,
a1,
a1,
a1,
a1,
a1,
a1,b27
a0,b14
a1,b28
a1,b19
a1,b24
a1,b19
a1,b17
a1,b22
a1,
a1,
a1,b18
a1,b26
a1,b18
a0,b6
a0,b11
a0,b16
a0,b6
a1,b22
a0,b9
a0,b6
a0,b9
a0,b5
a0,b6
a1,b22
a0,b6
a0,b14
a0,b4
a0,b7
a0,b5
a1,b23
a1,b20
a0,b8
a1,b17
a0,b12
a1,
a1,
a0,b6
a0,b5
a0,b7
a0,b10
a0,b9
a1,b23
a1,b17
a1,b27
a1,b26
a1,b29
a1,b30
a0,b9
a1,b29
a1,b27
a0,b7
a1,b30
a0,b15
a1,b24
a1,b28
a1,b26
a1,b27
a1,b29
a1,b30
a1,b26
a0,b7
a0,b5
a0,b9
a0,b7
a0,b4
a1,b23
a0,b4
a0,b5
a0,b4
a0,b9
a0,b5
a0,b5
a0,b4
a0,b4
a0,b4
a0,b6
a0,b6
a0,b8
a0,b5
a1,b32
a1,
a1,b30
a1,
a1,b25
a1,
a1,b31
a1,b25
a1,b21
a0,b7
a1,
a1,b22
a0,
a0,
a0,b6
a0,b6
a0,b8
a0,b5
a0,b7
a1,b22
a0,b6
a0,b7
a1,b23
a0,
a0,b9
a0,b7
a0,b4
a0,b9
a0,b8
a0,b10
a0,b6
a1,b25
a1,b28
a1,b27
a1,b29
a0,b6
a0,b5
a0,b9
a1,b25
a1,b30
a1,b26
a1,b26
a1,b28
a0,b11
a1,b18
a1,b26
a1,b19
a1,b26
